camera-ros-publisher             RUNNING   pid 17, uptime 0:00:49
camera-web-server                RUNNING   pid 15, uptime 0:00:49
fluxbox                          RUNNING   pid 194, uptime 0:00:48
joint-state-bridge               RUNNING   pid 14, uptime 0:00:49
jupyterlab                       RUNNING   pid 21, uptime 0:00:49
novnc                            RUNNING   pid 12, uptime 0:00:49
reachy-sdk-server                RUNNING   pid 13, uptime 0:00:49
robot-state-publisher            RUNNING   pid 16, uptime 0:00:49
rviz2                            RUNNING   pid 20, uptime 0:00:49
scene-marker-publisher           RUNNING   pid 18, uptime 0:00:49
x11vnc                           RUNNING   pid 208, uptime 0:00:48
xvfb                             RUNNING   pid 9, uptime 0:00:49
