cycle,shape,rep,session,role,leg,route,board,board_sha256,code,run_dir,log,samples,tool,identity_ok,settled_pose_ok,contacts,contacts_recorded,evidence_N_N,covered,seq_contiguous,reset_in_window,displacement_soda_can_m,displacement_foam_block_m,displacement_max_m,object_disturbance_gt_1mm,gate_accepted,tail_target,tail_mode,tail_line,tail_verdict,start_variant,droop_class,notebook_outcome,elapsed_s,compliance_waited_s,outcome
stage0-B1-s1,,,s1,armon,stage0-B1-s1-armon,RAISE_TO_SIDE (label only),B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_RAISE_TO_SIDE_20260919T090518Z.json,280,reachy.turn_on('r_arm') (stage0 notebook),True,True,0,True,703/703,True,True,False,1.08e-07,2.04e-09,1.08e-07,False,yes,INIT,end,tail_samples=61 (last 3.0s)  max_spread_deg=0.0,STAGE0_INIT_OK=yes,,,returned,0.059142459,0.056090334,pass
S2-B1-a-r1,a,1,s1,parked,S2-B1-a-r1-parked,RAISE_TO_SIDE,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_RAISE_TO_SIDE_20260919T090601Z.json,60,none (reset before),True,True,0,True,153/153,True,True,False,1.79e-07,4.45e-10,1.79e-07,False,yes,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,stiff-zero,n/a,n/a,,,pass
S2-B1-a-r1,a,1,s1,setup,S2-B1-a-r1-setup,RAISE_TO_SIDE,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_RAISE_TO_SIDE_20260919T091738Z.json,1192,primitives.raise_to_side,True,True,0,True,2984/2984,True,True,False,6.3e-08,8.56e-09,6.3e-08,False,yes,PRESENT,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=1.0  max_spread_deg=0.0  r_gripper=-45.0 (target -45.0),PARKED_AT_PRESENT=yes,,D0 (route completed),returned,33.247933375,0.055792167,pass
S2-B1-a-r1,a,1,s1,flight,S2-B1-a-r1-flight,LOWER_TO_REST,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_LOWER_TO_REST_20260919T091932Z.json,748,rig_motion.from_present,True,True,0,True,1874/1874,True,True,False,1.17e-07,5.47e-09,1.17e-07,False,yes,REST,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.3  max_spread_deg=0.0  r_gripper=-45.0 (target -45.0),PARKED_AT_REST=yes,,D0 (route completed),returned,6.701065041,0.0521065,pass
S2-B1-b-r1,b,1,s1,parked,S2-B1-b-r1-parked,PLACE_ROUTE,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_PLACE_ROUTE_20260919T092046Z.json,60,none (reset before),True,True,0,True,154/154,True,True,False,2.42e-07,4.28e-10,2.42e-07,False,yes,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,stiff-zero,n/a,n/a,,,pass
S2-B1-b-r1,b,1,s1,flight,S2-B1-b-r1-flight,PLACE_ROUTE,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_PLACE_ROUTE_20260919T092204Z.json,1282,rig_motion.deploy_to_rest,True,True,0,True,3209/3209,True,True,False,5.4e-07,4.42e-09,5.4e-07,False,yes,REST,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.6  max_spread_deg=0.0  r_gripper=-44.2 (target -45.0),PARKED_AT_REST=yes,,D0 (route completed),returned,33.569724209,0.055647208,pass
S2-B1-c-r1,c,1,s1,parked,S2-B1-c-r1-parked,PLACE_ROUTE,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_PLACE_ROUTE_20260919T092350Z.json,60,none (reset before),True,True,0,True,155/155,True,True,False,2.42e-07,4.28e-10,2.42e-07,False,yes,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,stiff-zero,n/a,n/a,,,pass
S2-B1-c-r1,c,1,s1,setup,S2-B1-c-r1-setup,PLACE_ROUTE,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_PLACE_ROUTE_20260919T092510Z.json,1282,rig_motion.deploy_to_rest,True,True,0,True,3208/3208,True,True,False,1.11e-07,4.36e-09,1.11e-07,False,yes,REST,end,tail_samples=61 (last 3.0s)  max_gross_err_deg=0.3  max_spread_deg=0.0  r_gripper=-45.0 (target -45.0),PARKED_AT_REST=yes,,D0 (route completed),returned,33.624110292,0.058055459,pass
S2-B1-c-r1,c,1,s1,flight,S2-B1-c-r1-flight,LIFT_TO_PRESENT,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_LIFT_TO_PRESENT_20260919T092711Z.json,682,rig_motion.to_present,True,True,0,True,1709/1709,True,True,False,3.37e-08,4.97e-09,3.37e-08,False,yes,PRESENT,end,tail_samples=61 (last 3.0s)  max_gross_err_deg=1.0  max_spread_deg=0.0  r_gripper=-45.0 (target -45.0),PARKED_AT_PRESENT=yes,,D0 (route completed),returned,3.384084709,0.053944792,pass
S2-B1-a-r2,a,2,s1,parked,S2-B1-a-r2-parked,RAISE_TO_SIDE,B1_evidence,f577fc47616ab1b4d68e0173c1adec6d1110039372f0f68bed31e7f7d6715346,e6c30b7,e1_server_runs/run_20260919_090342,route_clearance_RAISE_TO_SIDE_20260919T092945Z.json,60,none (reset before),True,True,0,True,154/154,True,True,False,1.34e-07,4.22e-10,1.34e-07,False,yes,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,stiff-zero,n/a,n/a,,,pass
