# Checkpoint-set recorder clearance reports (recorder's own JSON block in control/recorder_*.log): realised vs planned, closest board object, cm
# criterion 8 (recorded, not a gate): realised shells > 0 and within ~1 cm of planned on each flown route
recording                  route            hand    object       planned  realised plan-real
S2-B1-a-r1-flight          LOWER_TO_REST    shells  soda_can       33.61     33.59      0.02
S2-B1-a-r1-flight          LOWER_TO_REST    shells  foam_block      4.79      4.72      0.06
S2-B1-a-r1-flight          LOWER_TO_REST    tube    soda_can       29.66     29.63      0.03
S2-B1-a-r1-flight          LOWER_TO_REST    tube    foam_block     -5.70     -5.73      0.03
S2-B1-a-r1-parked          RAISE_TO_SIDE    shells  soda_can       33.55     37.39     -3.84
S2-B1-a-r1-parked          RAISE_TO_SIDE    shells  foam_block      4.48     36.18    -31.70
S2-B1-a-r1-parked          RAISE_TO_SIDE    tube    soda_can       29.66     37.39     -7.73
S2-B1-a-r1-parked          RAISE_TO_SIDE    tube    foam_block     -5.70     36.18    -41.88
S2-B1-a-r1-setup           RAISE_TO_SIDE    shells  soda_can       33.55     30.40      3.15
S2-B1-a-r1-setup           RAISE_TO_SIDE    shells  foam_block      4.48      3.79      0.69
S2-B1-a-r1-setup           RAISE_TO_SIDE    tube    soda_can       29.66     26.65      3.02
S2-B1-a-r1-setup           RAISE_TO_SIDE    tube    foam_block     -5.70     -5.80      0.10
S2-B1-b-r1-flight          PLACE_ROUTE      shells  soda_can       33.55     30.34      3.22
S2-B1-b-r1-flight          PLACE_ROUTE      shells  foam_block      4.48      3.89      0.58
S2-B1-b-r1-flight          PLACE_ROUTE      tube    soda_can       29.66     26.58      3.09
S2-B1-b-r1-flight          PLACE_ROUTE      tube    foam_block     -5.70     -5.85      0.15
S2-B1-b-r1-parked          PLACE_ROUTE      shells  soda_can       33.55     37.39     -3.84
S2-B1-b-r1-parked          PLACE_ROUTE      shells  foam_block      4.48     36.18    -31.70
S2-B1-b-r1-parked          PLACE_ROUTE      tube    soda_can       29.66     37.39     -7.73
S2-B1-b-r1-parked          PLACE_ROUTE      tube    foam_block     -5.70     36.18    -41.88
S2-B1-c-r1-flight          LIFT_TO_PRESENT  shells  soda_can       33.61     33.60      0.01
S2-B1-c-r1-flight          LIFT_TO_PRESENT  shells  foam_block      4.79      4.75      0.04
S2-B1-c-r1-flight          LIFT_TO_PRESENT  tube    soda_can       29.66     29.61      0.06
S2-B1-c-r1-flight          LIFT_TO_PRESENT  tube    foam_block     -5.70     -5.75      0.06
S2-B1-c-r1-parked          PLACE_ROUTE      shells  soda_can       33.55     37.39     -3.84
S2-B1-c-r1-parked          PLACE_ROUTE      shells  foam_block      4.48     36.18    -31.70
S2-B1-c-r1-parked          PLACE_ROUTE      tube    soda_can       29.66     37.39     -7.73
S2-B1-c-r1-parked          PLACE_ROUTE      tube    foam_block     -5.70     36.18    -41.88
S2-B1-c-r1-setup           PLACE_ROUTE      shells  soda_can       33.55     30.23      3.32
S2-B1-c-r1-setup           PLACE_ROUTE      shells  foam_block      4.48      3.86      0.62
S2-B1-c-r1-setup           PLACE_ROUTE      tube    soda_can       29.66     26.50      3.16
S2-B1-c-r1-setup           PLACE_ROUTE      tube    foam_block     -5.70     -5.86      0.16
stage0-B1-s1-armon         RAISE_TO_SIDE    shells  soda_can       33.55     37.39     -3.84
stage0-B1-s1-armon         RAISE_TO_SIDE    shells  foam_block      4.48     36.18    -31.70
stage0-B1-s1-armon         RAISE_TO_SIDE    tube    soda_can       29.66     37.39     -7.73
stage0-B1-s1-armon         RAISE_TO_SIDE    tube    foam_block     -5.70     36.18    -41.88
