# Recorder-reported worst clearance per recording (recorder's own JSON block in control/recorder_*.log), both hand models, both B1 objects, cm. Parked rows: 'planned' is the route's plan, realised is the HOME pose -- not comparable.
recording              route            | shells foam plan/real | tube foam plan/real | shells soda plan/real | tube soda plan/real
stage0-B1-s1-armon     RAISE_TO_SIDE    |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-a-r1-flight      LOWER_TO_REST    |   4.79 /  4.72 |  -5.70 / -5.73 |  33.61 / 33.59 |  29.66 / 29.63
S2-B1-a-r1-parked      RAISE_TO_SIDE    |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-a-r1-setup       RAISE_TO_SIDE    |   4.48 /  3.79 |  -5.70 / -5.80 |  33.55 / 30.40 |  29.66 / 26.65
S2-B1-b-r1-flight      PLACE_ROUTE      |   4.48 /  3.89 |  -5.70 / -5.85 |  33.55 / 30.34 |  29.66 / 26.58
S2-B1-b-r1-parked      PLACE_ROUTE      |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-c-r1-flight      LIFT_TO_PRESENT  |   4.79 /  4.75 |  -5.70 / -5.75 |  33.61 / 33.60 |  29.66 / 29.61
S2-B1-c-r1-parked      PLACE_ROUTE      |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-c-r1-setup       PLACE_ROUTE      |   4.48 /  3.86 |  -5.70 / -5.86 |  33.55 / 30.23 |  29.66 / 26.50
S2-B1-a-r2-flight      LOWER_TO_REST    |   4.79 /  4.48 |  -5.70 / -5.94 |  33.61 / 33.47 |  29.66 / 29.44
S2-B1-a-r2-parked      RAISE_TO_SIDE    |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-a-r2-setup       RAISE_TO_SIDE    |   4.48 /  3.86 |  -5.70 / -5.85 |  33.55 / 30.43 |  29.66 / 26.65
S2-B1-b-r2-flight      PLACE_ROUTE      |   4.48 /  3.78 |  -5.70 / -5.86 |  33.55 / 30.39 |  29.66 / 26.67
S2-B1-b-r2-parked      PLACE_ROUTE      |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-c-r2-flight      LIFT_TO_PRESENT  |   4.79 /  4.61 |  -5.70 / -5.89 |  33.61 / 33.53 |  29.66 / 29.48
S2-B1-c-r2-parked      PLACE_ROUTE      |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-c-r2-setup       PLACE_ROUTE      |   4.48 /  3.90 |  -5.70 / -5.86 |  33.55 / 30.43 |  29.66 / 26.62
S2-B1-a-r3-flight      LOWER_TO_REST    |   4.79 /  4.66 |  -5.70 / -5.84 |  33.61 / 33.56 |  29.66 / 29.53
S2-B1-a-r3-parked      RAISE_TO_SIDE    |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-a-r3-setup       RAISE_TO_SIDE    |   4.48 /  3.96 |  -5.70 / -5.94 |  33.55 / 30.42 |  29.66 / 26.64
S2-B1-b-r3-flight      PLACE_ROUTE      |   4.48 /  3.85 |  -5.70 / -5.91 |  33.55 / 30.37 |  29.66 / 26.62
S2-B1-b-r3-parked      PLACE_ROUTE      |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-c-r3-flight      LIFT_TO_PRESENT  |   4.79 /  4.57 |  -5.70 / -5.92 |  33.61 / 33.51 |  29.66 / 29.45
S2-B1-c-r3-parked      PLACE_ROUTE      |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-c-r3-setup       PLACE_ROUTE      |   4.48 /  3.74 |  -5.70 / -5.90 |  33.55 / 30.37 |  29.66 / 26.57
S2-B1-a-r4-flight      LOWER_TO_REST    |   4.79 /  4.67 |  -5.70 / -5.86 |  33.61 / 33.56 |  29.66 / 29.50
S2-B1-a-r4-parked      RAISE_TO_SIDE    |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-a-r4-setup       RAISE_TO_SIDE    |   4.48 /  3.95 |  -5.70 / -5.90 |  33.55 / 30.36 |  29.66 / 26.61
S2-B1-b-r4-flight      PLACE_ROUTE      |   4.48 /  3.86 |  -5.70 / -5.97 |  33.55 / 30.35 |  29.66 / 26.61
S2-B1-b-r4-parked      PLACE_ROUTE      |   4.48 / 36.18 |  -5.70 / 36.18 |  33.55 / 37.39 |  29.66 / 37.39
S2-B1-c-r4-flight      LIFT_TO_PRESENT  |   4.79 /  4.59 |  -5.70 / -5.92 |  33.61 / 33.52 |  29.66 / 29.45
