cycle,shape,rep,session,role,leg,route,board,board_sha256,code,run_dir,log,samples,tool,identity_ok,settled_pose_ok,contacts,contacts_recorded,evidence_N_N,covered,seq_contiguous,reset_in_window,displacement_pool_box_1_m,displacement_max_m,object_disturbance_gt_1mm,gate_accepted,tail_target,tail_mode,tail_line,tail_verdict,start_variant,droop_class,notebook_outcome,elapsed_s,compliance_waited_s,outcome
stage0-B4-s1,,,s1,armon,stage0-B4-s1-armon,RAISE_TO_SIDE (label only),B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_RAISE_TO_SIDE_20260919T044140Z.json,280,reachy.turn_on('r_arm') (stage0 notebook),True,True,0,True,704/704,True,True,False,1.87e-09,1.87e-09,False,yes,INIT,end,tail_samples=60 (last 3.0s)  max_spread_deg=0.0,STAGE0_INIT_OK=yes,,,returned,0.054923958,0.052562,pass
S2-B4-a-r1,a,1,s1,parked,S2-B4-a-r1-parked,RAISE_TO_SIDE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_RAISE_TO_SIDE_20260919T044231Z.json,60,none (reset before),True,True,0,True,154/154,True,True,False,3.91e-10,3.91e-10,False,yes,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,stiff-zero,n/a,n/a,,,pass
S2-B4-a-r1,a,1,s1,setup,S2-B4-a-r1-setup,RAISE_TO_SIDE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_RAISE_TO_SIDE_20260919T044414Z.json,1192,primitives.raise_to_side,True,True,0,True,2984/2984,True,True,False,7.84e-09,7.85e-09,False,yes,PRESENT,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=3.5  max_spread_deg=0.0  r_gripper=-45.1 (target -45.0),PARKED_AT_PRESENT=yes,,D0 (route completed),returned,33.242245792,0.05553475,pass
S2-B4-a-r1,a,1,s1,flight,S2-B4-a-r1-flight,LOWER_TO_REST,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_LOWER_TO_REST_20260919T044557Z.json,748,rig_motion.from_present,True,True,0,True,1873/1873,True,True,False,5e-09,5.02e-09,False,yes,REST,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.6  max_spread_deg=0.0  r_gripper=-44.5 (target -45.0),PARKED_AT_REST=yes,,D0 (route completed),returned,6.71950625,0.055953625,pass
S2-B4-b-r1,b,1,s1,parked,S2-B4-b-r1-parked,PLACE_ROUTE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_PLACE_ROUTE_20260919T044733Z.json,60,none (reset before),True,True,0,True,153/153,True,True,False,4.01e-10,4.05e-10,False,yes,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,stiff-zero,n/a,n/a,,,pass
S2-B4-b-r1,b,1,s1,flight,S2-B4-b-r1-flight,PLACE_ROUTE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_PLACE_ROUTE_20260919T044907Z.json,1282,rig_motion.deploy_to_rest,True,True,0,True,3209/3209,True,True,False,8.46e-09,8.46e-09,False,yes,REST,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.6  max_spread_deg=0.0  r_gripper=-44.7 (target -45.0),PARKED_AT_REST=yes,,D0 (route completed),returned,33.593073375,0.051979167,pass
S2-B4-c-r1,c,1,s1,parked,S2-B4-c-r1-parked,PLACE_ROUTE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_PLACE_ROUTE_20260919T045055Z.json,60,none (reset before),True,True,0,True,155/155,True,True,False,4.03e-10,4.08e-10,False,yes,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,stiff-zero,n/a,n/a,,,pass
S2-B4-c-r1,c,1,s1,setup,S2-B4-c-r1-setup,PLACE_ROUTE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_PLACE_ROUTE_20260919T045216Z.json,1282,rig_motion.deploy_to_rest,True,True,0,True,3208/3208,True,True,False,8.46e-09,8.5e-09,False,yes,REST,end,tail_samples=61 (last 3.0s)  max_gross_err_deg=0.8  max_spread_deg=0.0  r_gripper=-42.6 (target -45.0),PARKED_AT_REST=yes,,D0 (route completed),returned,33.596096125,0.056754542,pass
S2-B4-c-r1,c,1,s1,flight,S2-B4-c-r1-flight,LIFT_TO_PRESENT,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_LIFT_TO_PRESENT_20260919T052704Z.json,682,rig_motion.to_present,True,True,0,True,1709/1709,True,True,False,4.55e-09,4.56e-09,False,yes,PRESENT,end,tail_samples=60 (last 3.0s)  max_gross_err_deg=1.0  max_spread_deg=0.0  r_gripper=-45.0 (target -45.0),PARKED_AT_PRESENT=yes,,D0 (route completed),returned,3.412392416,0.055594,pass
S2-B4-a-r2,a,2,s1,parked,S2-B4-a-r2-parked,RAISE_TO_SIDE,B4_pool_box_1_r2c3,818d8e5755b4a8e892bf4b48a73a0321df717c3dcaf3c2313f9ed367056ab083,e6c30b7,e1_server_runs/run_20260919_043924,route_clearance_RAISE_TO_SIDE_20260919T052952Z.json,60,none (reset before),True,True,0,True,154/154,True,True,False,3.98e-10,3.98e-10,False,yes,HOME,start,tail_samples=60 (last 3.0s)  max_gross_err_deg=0.0  max_spread_deg=0.0  r_gripper=-0.0 (target -45.0),PARKED_AT_HOME=NO,stiff-zero,n/a,n/a,,,pass
